festival_list_link,festival_list_link-href,event_name,event_dates,event_cost,event_description,event_date_time,event_location_name,event_location_address,event_venue_html
"Fall Fest 2017","https://atlantaplanit.wabe.org/events/fall-fest-2016/","Fall Fest 2017","Sep 30 – Oct 1","null","This year marks the 17th anniversary of the beloved Fall Fest in Candler Park, a two-day celebration of music and community kicked off with a 5k race and a tour of homes. It’s called the Fall Fest because it takes place in October — so mark your calendars — but it’s events like these that make people really fall for the charm of Candler Park.","<dt>Date and Time</dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Sat, Sep 30</td><td>12pm – 10pm</td></tr><tr><td>Sun, Oct 1</td><td>12pm – 9pm</td></tr></tbody></table></dd>","Candler Park","McClendon Ave. and Candler Park Dr.
ATLANTA, GA 30307","<h3>Location</h3>
				<header class=""entry-header"">
					Candler Park				</header>
				<dl class=""pi-field address"" title=""Address""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span>McClendon Ave. and Candler Park Dr.<br>ATLANTA, GA 30307</span></dd></dl>				<dl class=""pi-field wwwcandlerparkorg"" title=""www.candlerpark.org""><dt></dt><dd><i class=""fa fa-external-link"" aria-hidden=""true""></i><span><a target=""_blank"" rel=""noindex nofollow"" href=""http://www.candlerpark.org"">www.candlerpark.org</a></span></dd></dl>"
"Native American Festival & Pow-Wow","https://atlantaplanit.wabe.org/events/indian-festival-pow-wow/","Native American Festival & Pow-Wow","Nov 2 – Nov 5","Park Admission","Bring your family to experience the energy and color of the largest Native American gathering in Georgia.  Held at Stone Mountain Park’s historic Antebellum Plantation, the event showcases Native American culture through dance, music, authentic craft demonstrations, cooking traditions, storytelling, wildlife presentations and more.





In addition to festival tickets, park admission is $15 per vehicle.","<dt>Date and Time</dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Thu, Nov 2<br>Fri, Nov 3</td><td>9am – 3pm</td></tr><tr><td>Sat, Nov 4</td><td>10am – 6pm</td></tr><tr><td>Sun, Nov 5</td><td>10am – 5pm</td></tr></tbody></table></dd>","Stone Mountain Park","U.S. Highway 78 East
Exit 8
STONE MOUNTAIN, GA 30087","<h3>Location</h3>
				<header class=""entry-header"">
					Stone Mountain Park				</header>
				<dl class=""pi-field address"" title=""Address""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span>U.S. Highway 78 East<br>Exit 8<br>STONE MOUNTAIN, GA 30087</span></dd></dl>				<dl class=""pi-field wwwstonemountainparkcom"" title=""www.stonemountainpark.com""><dt></dt><dd><i class=""fa fa-external-link"" aria-hidden=""true""></i><span><a target=""_blank"" rel=""noindex nofollow"" href=""http://www.stonemountainpark.com"">www.stonemountainpark.com</a></span></dd></dl>				<dl class=""pi-field email"" title=""Email""><dt></dt><dd><i class=""fa fa-envelope-o"" aria-hidden=""true""></i><span><a class=""email"" rel=""noindex nofollow"" href=""mailto:jjones@stonemountainpark.com"">jjones@stonemountainpark.com</a></span></dd></dl>				<dl class=""pi-field phone"" title=""Phone""><dt></dt><dd><i class=""fa fa-phone"" aria-hidden=""true""></i><span><a class=""phone"" rel=""noindex nofollow"" href=""tel:770-498-5690"">770-498-5690</a></span></dd></dl>"
"Flying Colors Butterfly Festival","https://atlantaplanit.wabe.org/events/flying-colors-butterfly-festival/","Flying Colors Butterfly Festival","Jun 3 – Jun 4","General Admission","The annual ""Flying Colors Butterfly Festival"" fills the Chattahoochee Nature Center with the beating wings of hundreds of beautiful butterflies. The Butterfly Encounter Exhibit invites visitors to hand-feed more than 250 free flying butterflies. Enjoy the show when butterflies land on flowers after the releases. The event also features live music, photography and entomology exhibits, arts and crafts, face painting, butterfly parades and more. Kids can wear their butterfly costumes and join the daily butterfly parades. Pollinator and host plants will be on sale for garden enthusiasts, and food trucks will sell snacks on site. Additional parking is available at the St. Francis School on Willeo Road, and a free shuttle bus service will be provided from this location.





Live Butterfly Releases


(Subject to Change)


Saturday: 11 a.m. and 1:30 p.m.


Sunday: 1:30 and 3:30 p.m.","<dt>Date and Time</dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Sat, Jun 3</td><td>10am – 3pm</td></tr><tr><td>Sun, Jun 4</td><td>12pm – 5pm</td></tr></tbody></table></dd>","Chattahoochee Nature Center","9135 Willeo Rd.
ROSWELL, GA 30075","<h3>Location</h3>
				<header class=""entry-header"">
					Chattahoochee Nature Center				</header>
				<dl class=""pi-field address"" title=""Address""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span>9135 Willeo Rd.<br>ROSWELL, GA 30075</span></dd></dl>				<dl class=""pi-field wwwchattnaturecenterorg"" title=""www.chattnaturecenter.org/""><dt></dt><dd><i class=""fa fa-external-link"" aria-hidden=""true""></i><span><a target=""_blank"" rel=""noindex nofollow"" href=""http://www.chattnaturecenter.org/"">www.chattnaturecenter.org/</a></span></dd></dl>				<dl class=""pi-field email"" title=""Email""><dt></dt><dd><i class=""fa fa-envelope-o"" aria-hidden=""true""></i><span><a class=""email"" rel=""noindex nofollow"" href=""mailto:cnc.admissions@chattnaturecenter.org"">cnc.admissions@chattnaturecenter.org</a></span></dd></dl>				<dl class=""pi-field phone"" title=""Phone""><dt></dt><dd><i class=""fa fa-phone"" aria-hidden=""true""></i><span><a class=""phone"" rel=""noindex nofollow"" href=""tel:770-992-2055"">770-992-2055</a></span></dd></dl>"
"Day of the Dead, Dia de los Muertos","https://atlantaplanit.wabe.org/events/day-of-the-dead-dia-de-los-muertos/","Day of the Dead, Dia de los Muertos","Oct 29","null","Visitors of all ages learn about and experience a Day of the Dead Festival. Guests enjoy storytelling, crafts, and authentic Mexican food and entertainment. View a display of altars honoring lost family and friends that are decorated with flowers, favorite foods, and beverages.","<dt>Date and Time</dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Sun, Oct 29</td><td>12pm – 5pm</td></tr></tbody></table></dd>","Atlanta History Center","130 West Paces Ferry Rd. NW
ATLANTA, GA 30305","<h3>Location</h3>
				<header class=""entry-header"">
					Atlanta History Center				</header>
				<dl class=""pi-field address"" title=""Address""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span>130 West Paces Ferry Rd. NW<br>ATLANTA, GA 30305</span></dd></dl>				<dl class=""pi-field wwwatlantahistorycentercom"" title=""www.atlantahistorycenter.com""><dt></dt><dd><i class=""fa fa-external-link"" aria-hidden=""true""></i><span><a target=""_blank"" rel=""noindex nofollow"" href=""http://www.atlantahistorycenter.com"">www.atlantahistorycenter.com</a></span></dd></dl>				<dl class=""pi-field email"" title=""Email""><dt></dt><dd><i class=""fa fa-envelope-o"" aria-hidden=""true""></i><span><a class=""email"" rel=""noindex nofollow"" href=""mailto:information@atlantahistorycenter.com"">information@atlantahistorycenter.com</a></span></dd></dl>				<dl class=""pi-field phone"" title=""Phone""><dt></dt><dd><i class=""fa fa-phone"" aria-hidden=""true""></i><span><a class=""phone"" rel=""noindex nofollow"" href=""tel:404-814-4000"">404-814-4000</a></span></dd></dl>"
"Brookhaven Arts Festival","https://atlantaplanit.wabe.org/events/12th-annual-brookhaven-arts-festival/","Brookhaven Arts Festival","Oct 21 – Oct 22","Free","Presented by The Brookhaven Community Foundation





The Brookhaven Art Festival is a juried event with fine arts and hand crafts by 150 artists from across the nation, a classic car show, live music, food and beverages.","<dt>Date and Time</dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Sat, Oct 21</td><td>10am – 6pm<br>12pm – 5pm</td></tr></tbody></table></dd>","Apple Valley Road","Apple Valley Road
BROOKHAVEN, GA 30319","<h3>Location</h3>
				<header class=""entry-header"">
					Apple Valley Road				</header>
				<dl class=""pi-field address"" title=""Address""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span>Apple Valley Road<br>BROOKHAVEN, GA 30319</span></dd></dl>"
"Atlanta Pride","https://atlantaplanit.wabe.org/events/atlanta-pride/","Atlanta Pride","Oct 14 – Oct 15","Free","The annual Atlanta Pride festival is a weekend of community activities and service bringing awareness to the lesbian, gay, bisexual and transgender community in the Southeast. The weekend features marches, parades, a marketplace, live entertainment and more. Viewing the marches and parades is free, but advance registration is required to walk in them. Atlanta Pride is the largest Pride event in the Southeast and the largest event in the country to coincide with National Coming Out Day.","<dt>Date and Time</dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Every </td><td>12pm – 8pm</td></tr></tbody></table></dd>","Piedmont Park","1071 Piedmont Ave.
ATLANTA, GA 30309","<h3>Location</h3>
				<header class=""entry-header"">
					Piedmont Park				</header>
				<dl class=""pi-field address"" title=""Address""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span>1071 Piedmont Ave.<br>ATLANTA, GA 30309</span></dd></dl>				<dl class=""pi-field wwwpiedmontparkorg"" title=""www.piedmontpark.org""><dt></dt><dd><i class=""fa fa-external-link"" aria-hidden=""true""></i><span><a target=""_blank"" rel=""noindex nofollow"" href=""http://www.piedmontpark.org"">www.piedmontpark.org</a></span></dd></dl>				<dl class=""pi-field email"" title=""Email""><dt></dt><dd><i class=""fa fa-envelope-o"" aria-hidden=""true""></i><span><a class=""email"" rel=""noindex nofollow"" href=""mailto:info@piedmontpark.org"">info@piedmontpark.org</a></span></dd></dl>				<dl class=""pi-field phone"" title=""Phone""><dt></dt><dd><i class=""fa fa-phone"" aria-hidden=""true""></i><span><a class=""phone"" rel=""noindex nofollow"" href=""tel:404-875-7275"">404-875-7275</a></span></dd></dl>"
"Sippin’ Safari","https://atlantaplanit.wabe.org/events/sippin-safari/","Sippin’ Safari","Sep 23","null","Imagine having a glass where the glass growls back. Picture yourself sampling great grapes in the home of North America’s largest population of great apes. Think of something “extra dry” under the savanna sky. Wish you could try a wilder vintage Welcome to Zoo Atlanta's Sippin' Safari! Enjoy sampling of fine wines, evening animal viewing, live music and tasty bites in one of Atlanta’s most beautiful and exotic settings at this new event. You can also visit the artist market, where you can check out and take home animal-inspired art by Amy Pugh (live painting), Erica Elle (live painting) and Christina Ward. 





Live Music Entertainment: 





The Regulars 


Main stage headliner – Ford Pavilion


Equal parts Rock and Funk, with a whole lot of Soul sprinkled on top, this Atlanta-based band is fronted by dual-lead vocalists, siblings Lee and Lindsey Smith.





Gritz and Jelly Butter


Main stage – Ford Pavilion


Cover band Gritz and Jelly Butter specializes in finger snaps, head nods, swaying hips, foot taps, and good vibes with a seamless mixture of soul, R&B, Hip-Hop, Reggae, and Classic Rock. 





Alex Guthrie 


Flamingo Plaza stage 


Blending soulful vocals, story-rich lyrics, and the organic synergy of the 70's southern blues bands, Alex Guthrie gives you some of the most real music of our time. 





Jules & the Gents 


Friends to the Zoo and inspired by the great jazz musicians from the 20s to the 60s, this talented, authentic, old-school Atlanta Jazz Band has playing together for more than nine years.





DJ Ryan Baker – Mix Atlanta","<dt>Date and Time</dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Sat, Sep 23</td><td>5:30pm – 9:30pm</td></tr></tbody></table></dd>","Zoo Atlanta","800 Cherokee Ave. SE
ATLANTA, GA 30315","<h3>Location</h3>
				<header class=""entry-header"">
					Zoo Atlanta				</header>
				<dl class=""pi-field address"" title=""Address""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span>800 Cherokee Ave. SE<br>ATLANTA, GA 30315</span></dd></dl>				<dl class=""pi-field wwwzooatlantaorg"" title=""www.zooatlanta.org""><dt></dt><dd><i class=""fa fa-external-link"" aria-hidden=""true""></i><span><a target=""_blank"" rel=""noindex nofollow"" href=""http://www.zooatlanta.org"">www.zooatlanta.org</a></span></dd></dl>				<dl class=""pi-field email"" title=""Email""><dt></dt><dd><i class=""fa fa-envelope-o"" aria-hidden=""true""></i><span><a class=""email"" rel=""noindex nofollow"" href=""mailto:labrown@zooatlanta.org"">labrown@zooatlanta.org</a></span></dd></dl>				<dl class=""pi-field phone"" title=""Phone""><dt></dt><dd><i class=""fa fa-phone"" aria-hidden=""true""></i><span><a class=""phone"" rel=""noindex nofollow"" href=""tel:404-624-9453"">404-624-9453</a></span></dd></dl>"
"Yellow Daisy Festival","https://atlantaplanit.wabe.org/events/yellow-daisy-festival/","Yellow Daisy Festival","Sep 7 – Sep 10","Free with","More than 400 artists and crafters from 33 States and two countries will have their works on display. The event features live entertainment, Children's Corner activities, festival food and demonstrations.





Yellow Daisy Festival is free with paid parking admission. Vehicle entry to the park is $15 for a one-day permit.","<dt>Date and Time</dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Thu, Sep 7<br>Fri, Sep 8</td><td>8am – 6pm</td></tr><tr><td>Sat, Sep 9</td><td>8am – 7:30pm</td></tr><tr><td>Sun, Sep 10</td><td>10am – 5pm</td></tr></tbody></table></dd>","Stone Mountain Park","U.S. Highway 78 East
Exit 8
STONE MOUNTAIN, GA 30087","<h3>Location</h3>
				<header class=""entry-header"">
					Stone Mountain Park				</header>
				<dl class=""pi-field address"" title=""Address""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span>U.S. Highway 78 East<br>Exit 8<br>STONE MOUNTAIN, GA 30087</span></dd></dl>				<dl class=""pi-field wwwstonemountainparkcom"" title=""www.stonemountainpark.com""><dt></dt><dd><i class=""fa fa-external-link"" aria-hidden=""true""></i><span><a target=""_blank"" rel=""noindex nofollow"" href=""http://www.stonemountainpark.com"">www.stonemountainpark.com</a></span></dd></dl>				<dl class=""pi-field email"" title=""Email""><dt></dt><dd><i class=""fa fa-envelope-o"" aria-hidden=""true""></i><span><a class=""email"" rel=""noindex nofollow"" href=""mailto:jjones@stonemountainpark.com"">jjones@stonemountainpark.com</a></span></dd></dl>				<dl class=""pi-field phone"" title=""Phone""><dt></dt><dd><i class=""fa fa-phone"" aria-hidden=""true""></i><span><a class=""phone"" rel=""noindex nofollow"" href=""tel:770-498-5690"">770-498-5690</a></span></dd></dl>"
"Art in the Park","https://atlantaplanit.wabe.org/events/art-in-the-park/","Art in the Park","Sep 2 – Sep 4","Free","Marietta’s Labor Day weekend tradition ""Art in the Park"" features nearly 175 artists from throughout the country as well as some talented local folks, and this year, the outdoor arts festival welcomes many new, nationally-ranked artists. With fine arts and crafts available for purchase, ""Art in the Park"" offers visitors a fun opportunity to meet and talk with the artists and even see some of the works in progress. The family-friendly weekend also includes the Chalk Spot street art display and an area for kids, the Children’s Art Alley. It all takes place amid a variety of dining options and historic sites.","<dt>Date and Time</dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Every </td><td>10am – 5pm</td></tr></tbody></table></dd>","Glover Park","50 Park Square
MARIETTA, GA 30060","<h3>Location</h3>
				<header class=""entry-header"">
					Glover Park				</header>
				<dl class=""pi-field address"" title=""Address""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span>50 Park Square<br>MARIETTA, GA 30060</span></dd></dl>				<dl class=""pi-field wwwmariettagagovdepartmentsparks_recparksgloverparkaspx"" title=""www.mariettaga.gov/departments/parks_rec/parks/gloverpark.aspx""><dt></dt><dd><i class=""fa fa-external-link"" aria-hidden=""true""></i><span><a target=""_blank"" rel=""noindex nofollow"" href=""http://www.mariettaga.gov/departments/parks_rec/parks/gloverpark.aspx"">www.mariettaga.gov/departments/parks_rec/parks/gloverpark.aspx</a></span></dd></dl>				<dl class=""pi-field email"" title=""Email""><dt></dt><dd><i class=""fa fa-envelope-o"" aria-hidden=""true""></i><span><a class=""email"" rel=""noindex nofollow"" href=""mailto:770-794-5635"">770-794-5635</a></span></dd></dl>				<dl class=""pi-field phone"" title=""Phone""><dt></dt><dd><i class=""fa fa-phone"" aria-hidden=""true""></i><span><a class=""phone"" rel=""noindex nofollow"" href=""tel:770-794-5601"">770-794-5601</a></span></dd></dl>"
"A3C Festival","https://atlantaplanit.wabe.org/events/a3c-festival/","A3C Festival","Oct 4 – Oct 8","Festival Tickets","Official 2017 times to be announced. 





The A3C Festival is a two-day outdoor festival in the heart of downtown Atlanta featuring some of the most talented and renowned artists in hip-hop. Thousands of fans from around the world gather at the A3C Festival from Oct. 7 through Oct. 8 to enjoy hip-hop music and culture.","<dt>Date and Time</dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Every </td><td>12pm – 10pm</td></tr></tbody></table></dd>","Georgia Freight Depot","65 Martin Luther King Jr. Dr. SE
ATLANTA, GA 30334","<h3>Location</h3>
				<header class=""entry-header"">
					Georgia Freight Depot				</header>
				<dl class=""pi-field address"" title=""Address""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span>65 Martin Luther King Jr. Dr. SE<br>ATLANTA, GA 30334</span></dd></dl>				<dl class=""pi-field gbageorgiagovfreight-room"" title=""gba.georgia.gov/freight-room""><dt></dt><dd><i class=""fa fa-external-link"" aria-hidden=""true""></i><span><a target=""_blank"" rel=""noindex nofollow"" href=""https://gba.georgia.gov/freight-room"">gba.georgia.gov/freight-room</a></span></dd></dl>								<dl class=""pi-field phone"" title=""Phone""><dt></dt><dd><i class=""fa fa-phone"" aria-hidden=""true""></i><span><a class=""phone"" rel=""noindex nofollow"" href=""tel:404-656-3850"">404-656-3850</a></span></dd></dl>"
"Atlanta Jazz Festival","https://atlantaplanit.wabe.org/events/atlanta-jazz-festival/","Atlanta Jazz Festival","May 26 – May 28","Free!","The Atlanta Jazz Festival is one of the country's largest free jazz festivals. It's an annual music showcase that celebrates jazz legends and up-and-coming jazz greats in venues throughout metro Atlanta during the entire month of May. Its signature event is the three-day festival in Piedmont Park.","null","Piedmont Park","1071 Piedmont Ave.
ATLANTA, GA 30309","<h3>Location</h3>
				<header class=""entry-header"">
					Piedmont Park				</header>
				<dl class=""pi-field address"" title=""Address""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span>1071 Piedmont Ave.<br>ATLANTA, GA 30309</span></dd></dl>				<dl class=""pi-field wwwpiedmontparkorg"" title=""www.piedmontpark.org""><dt></dt><dd><i class=""fa fa-external-link"" aria-hidden=""true""></i><span><a target=""_blank"" rel=""noindex nofollow"" href=""http://www.piedmontpark.org"">www.piedmontpark.org</a></span></dd></dl>				<dl class=""pi-field email"" title=""Email""><dt></dt><dd><i class=""fa fa-envelope-o"" aria-hidden=""true""></i><span><a class=""email"" rel=""noindex nofollow"" href=""mailto:info@piedmontpark.org"">info@piedmontpark.org</a></span></dd></dl>				<dl class=""pi-field phone"" title=""Phone""><dt></dt><dd><i class=""fa fa-phone"" aria-hidden=""true""></i><span><a class=""phone"" rel=""noindex nofollow"" href=""tel:404-875-7275"">404-875-7275</a></span></dd></dl>"
"Atlanta Shortsfest","https://atlantaplanit.wabe.org/events/atlanta-shortsfest/","Atlanta Shortsfest","Jul 7 – Jul 8","Single ticket prices TBA","Atlanta Shortsfest showcases a diverse mix of short films by ultra-talented filmmakers from across the globe. The event is part of the Atlanta Film Series, a four-month showcase of independent film hosted at the Sychronicity Theatre. The Atlanta Shortsfest showcases a variety of short films with a running time under 45 minutes.","null","Synchronicity Theatre","1545 Peachtree St. NE
ATLANTA, GA 30309","<h3>Location</h3>
				<header class=""entry-header"">
					Synchronicity Theatre				</header>
				<dl class=""pi-field address"" title=""Address""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span>1545 Peachtree St. NE<br>ATLANTA, GA 30309</span></dd></dl>				<dl class=""pi-field wwwsynchrotheatrecom"" title=""www.synchrotheatre.com/""><dt></dt><dd><i class=""fa fa-external-link"" aria-hidden=""true""></i><span><a target=""_blank"" rel=""noindex nofollow"" href=""http://www.synchrotheatre.com/"">www.synchrotheatre.com/</a></span></dd></dl>				<dl class=""pi-field email"" title=""Email""><dt></dt><dd><i class=""fa fa-envelope-o"" aria-hidden=""true""></i><span><a class=""email"" rel=""noindex nofollow"" href=""mailto:boxoffice@synchrotheatre.com"">boxoffice@synchrotheatre.com</a></span></dd></dl>				<dl class=""pi-field phone"" title=""Phone""><dt></dt><dd><i class=""fa fa-phone"" aria-hidden=""true""></i><span><a class=""phone"" rel=""noindex nofollow"" href=""tel:404-484-8636"">404-484-8636</a></span></dd></dl>"
"Attack of the Killer Tomato Festival","https://atlantaplanit.wabe.org/events/attack-of-the-killer-tomato-festival/","Attack of the Killer Tomato Festival","Jul 16","General Admission","The Attack of the Killer Tomato Festival is a benefit for Georgia Organics. Visitors can enjoy tomato-based treats from dozens of chefs and mixologists and live music.","<dt>Date and Time</dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Sun, Jul 16</td><td>1pm – 5pm</td></tr></tbody></table></dd>","Park Tavern","500 10th St. NE
ATLANTA, GA 30309","<h3>Location</h3>
				<header class=""entry-header"">
					Park Tavern				</header>
				<dl class=""pi-field address"" title=""Address""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span>500 10th St. NE<br>ATLANTA, GA 30309</span></dd></dl>				<dl class=""pi-field wwwparktaverncom"" title=""www.parktavern.com""><dt></dt><dd><i class=""fa fa-external-link"" aria-hidden=""true""></i><span><a target=""_blank"" rel=""noindex nofollow"" href=""http://www.parktavern.com"">www.parktavern.com</a></span></dd></dl>				<dl class=""pi-field email"" title=""Email""><dt></dt><dd><i class=""fa fa-envelope-o"" aria-hidden=""true""></i><span><a class=""email"" rel=""noindex nofollow"" href=""mailto:pilar.parktavern@gmail.com"">pilar.parktavern@gmail.com</a></span></dd></dl>				<dl class=""pi-field phone"" title=""Phone""><dt></dt><dd><i class=""fa fa-phone"" aria-hidden=""true""></i><span><a class=""phone"" rel=""noindex nofollow"" href=""tel:404-249-0001"">404-249-0001</a></span></dd></dl>"
"Stone Mountain Highland Games","https://atlantaplanit.wabe.org/events/stone-mountain-highland-games/","Stone Mountain Highland Games","Oct 20 – Oct 22","General Admission","For 45 years, the picturesque grounds of the Stone Mountain Park meadow have resounded with the sounds of bagpipes, fiddles and harps during the third weekend in October. This year  thousands of Scots (even those that wish to be 'Scot for the Day') from around the world will don their family tartans and gather to greet old friends and make new ones too. Come and enjoy the Highland Athletic events, Highland Dancing, Piping and Drumming, and Scottish Harping. Participate in the Scottish Country Dancing demonstrations, Kirking of the Tartans, Clan Challenge Athletic events and the Parade of Tartans.","<dt>Date and Time</dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Every </td><td>8am – 5pm</td></tr></tbody></table></dd>","Stone Mountain Park","U.S. Highway 78 East
Exit 8
STONE MOUNTAIN, GA 30087","<h3>Location</h3>
				<header class=""entry-header"">
					Stone Mountain Park				</header>
				<dl class=""pi-field address"" title=""Address""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span>U.S. Highway 78 East<br>Exit 8<br>STONE MOUNTAIN, GA 30087</span></dd></dl>				<dl class=""pi-field wwwstonemountainparkcom"" title=""www.stonemountainpark.com""><dt></dt><dd><i class=""fa fa-external-link"" aria-hidden=""true""></i><span><a target=""_blank"" rel=""noindex nofollow"" href=""http://www.stonemountainpark.com"">www.stonemountainpark.com</a></span></dd></dl>				<dl class=""pi-field email"" title=""Email""><dt></dt><dd><i class=""fa fa-envelope-o"" aria-hidden=""true""></i><span><a class=""email"" rel=""noindex nofollow"" href=""mailto:jjones@stonemountainpark.com"">jjones@stonemountainpark.com</a></span></dd></dl>				<dl class=""pi-field phone"" title=""Phone""><dt></dt><dd><i class=""fa fa-phone"" aria-hidden=""true""></i><span><a class=""phone"" rel=""noindex nofollow"" href=""tel:770-498-5690"">770-498-5690</a></span></dd></dl>"
"Atlanta World Kite Festival","https://atlantaplanit.wabe.org/events/atlanta-world-kite-festival/","Atlanta World Kite Festival","Oct 28","Free","The festival was created to provide an amazing outdoor family experience complete with kite flying and demonstrations, food, live entertainment, music, contests and a kids fun zone!","<dt>Date and Time</dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Sat, Oct 28</td><td>1pm – 6pm</td></tr></tbody></table></dd>","Piedmont Park","1071 Piedmont Ave.
ATLANTA, GA 30309","<h3>Location</h3>
				<header class=""entry-header"">
					Piedmont Park				</header>
				<dl class=""pi-field address"" title=""Address""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span>1071 Piedmont Ave.<br>ATLANTA, GA 30309</span></dd></dl>				<dl class=""pi-field wwwpiedmontparkorg"" title=""www.piedmontpark.org""><dt></dt><dd><i class=""fa fa-external-link"" aria-hidden=""true""></i><span><a target=""_blank"" rel=""noindex nofollow"" href=""http://www.piedmontpark.org"">www.piedmontpark.org</a></span></dd></dl>				<dl class=""pi-field email"" title=""Email""><dt></dt><dd><i class=""fa fa-envelope-o"" aria-hidden=""true""></i><span><a class=""email"" rel=""noindex nofollow"" href=""mailto:info@piedmontpark.org"">info@piedmontpark.org</a></span></dd></dl>				<dl class=""pi-field phone"" title=""Phone""><dt></dt><dd><i class=""fa fa-phone"" aria-hidden=""true""></i><span><a class=""phone"" rel=""noindex nofollow"" href=""tel:404-875-7275"">404-875-7275</a></span></dd></dl>"
