alphabet_links,alphabet_links-href,venue_link,venue_link-href,venue_name,venue_phone,venue_website,venue_description,accessibility_table,parking_information,venue_email,venue_address,venue_image-src
"P","https://atlantaplanit.wabe.org/venues/P/","Poem 88","https://atlantaplanit.wabe.org/venues/poem-88/","Poem 88","404-735-1000","1123 Zonolite Road
Floataway Building, Suite A20
ATLANTA, GA 30306","Poem 88 opened in October 2010 in the White Provision District of Atlanta's Westside. Under the curatorial direction of writer and filmmaker Robin Bernat, Poem 88 represents emerging and mid-career artists and presents thoughtful and innovative explorations in a new artistic frontier. The gallery's artists work in both traditional and nontraditional formats, including painting, drawing, photography, installation and experimental filmmaking. Poem 88 promotes and pursues intriguing collaborations in all creative disciplines, presenting musical performances, literary readings and film screenings in addition to encouraging discourse about contemporary art and art-making.","MARTA AccessibleNoHandicapped AccessibleNoHearing Impaired AccessibleNoVisually Impaired AccessibleNoIndoorYesOutdoorNo","Free parking is available.","info@poem88.net","1123 Zonolite Road
Floataway Building, Suite A20
ATLANTA, GA 30306","https://atlantaplanit.wabe.org/wp-content/uploads/2016/06/Poem88_-_Logonew.jpg"
"E","https://atlantaplanit.wabe.org/venues/E/","Emory University, Mary Gray Munroe Theater","https://atlantaplanit.wabe.org/venues/emory-university-mary-gray-munroe-theater/","Emory University, Mary Gray Munroe Theater","null","605 Asbury Circle NE
Dobbs University Center
ATLANTA, GA 30322","The Mary Gray Munroe Theater, a 100-to-200-seat black-box studio in the Dobbs University Center, was dedicated in 1988 and remains Theater Emory’s production home. In 1990 the theater began operating a costume shop. A renovation of the Burlington Road Building in 1996 provided theater with a small black box space for classes and small theater projects.","MARTA AccessibleNoHandicapped AccessibleNoHearing Impaired AccessibleNoVisually Impaired AccessibleNoIndoorNoOutdoorNo","Lot parking available.","null","605 Asbury Circle NE
Dobbs University Center
ATLANTA, GA 30322","https://atlantaplanit.wabe.org/wp-content/uploads/2016/07/Arts_at_Emory_-_logo2012.jpg"
"M","https://atlantaplanit.wabe.org/venues/M/","The Mammal Gallery","https://atlantaplanit.wabe.org/venues/mammal-gallery-the/","The Mammal Gallery","404-771-6912","91 Broad St. SW
ATLANTA, GA 30303","The Mammal Gallery is a venue and gallery space located in the heart of downtown Atlanta. The exterior features art from a previous Living Walls conference.","MARTA AccessibleYesHandicapped AccessibleNoHearing Impaired AccessibleNoVisually Impaired AccessibleNoIndoorYesOutdoorNo","Street parking is available. MARTA: Take the Red/Gold or Blue/Green line to the Five Points station. Exit onto Peachtree Street and walk south. Turn right on Martin Luther King Jr. Drive and then left on Broad Street.","null","91 Broad St. SW
ATLANTA, GA 30303","https://atlantaplanit.wabe.org/wp-content/uploads/2016/08/Mammal-Gallery-1.jpg"
"L","https://atlantaplanit.wabe.org/venues/L/","Lumiere Gallery","https://atlantaplanit.wabe.org/venues/lumiere-gallery/","Lumiere Gallery","404-261-6100","425 Peachtree Hills Ave.
Suite 29B
ATLANTA, GA 30305","Lumiere provides a diverse range of photographic art through its own proprietary collection, regular exhibitions and acquisition activities on behalf of clients. The gallery has work from more than 75 photographers. They range from masters of the 19th and 20th century to more contemporary practitioners. All are established, with works in important museum collections, as well as having participated in multiple exhibitions.","MARTA AccessibleNoHandicapped AccessibleNoHearing Impaired AccessibleNoVisually Impaired AccessibleNoIndoorYesOutdoorNo","Lumiere is located in The Galleries of Peachtree Hills, midway between Buckhead and Midtown. Once you enter the complex, the gallery is located in building five, the furthest from the gate, and is on the second floor (unit 29B). Free parking is available. MARTA: Take the North or South line to the Lindbergh Marta Station. Exit the station and go to Lindbergh Drive (Lindbergh and Piedmont are the roads that intersect at the station). Take a right onto Lindbergh and then a left onto Peachtree Hills Avenue just after you go under the train overpass. The Galleries of Peachtree Hills will be on your left about 700 feet ahead.","info@lumieregallery.net","425 Peachtree Hills Ave.
Suite 29B
ATLANTA, GA 30305","https://atlantaplanit.wabe.org/wp-content/uploads/2016/06/Lumiere_-_Building.jpg"
"A","https://atlantaplanit.wabe.org/venues/A/","The Art Place – Mountain View","https://atlantaplanit.wabe.org/venues/art-place-mountain-view-the/","The Art Place – Mountain View","770-509-2700","3330 Sandy Plains Rd.
MARIETTA, GA 30066","The Art Place - Mountain View is a facility of Cobb County Parks, Recreation, and Cultural Affairs Department. It seeks to encourage fine arts programs that will enhance and promote programs of artistic merit. The Art Place has spaces designed to be flexible for visual and performing arts activities. The facility also offers gallery exhibitions, theatre productions and meeting space for non-profit arts-related organizations.","MARTA AccessibleNoHandicapped AccessibleYesHearing Impaired AccessibleNoVisually Impaired AccessibleNoIndoorYesOutdoorNo","Free parking is available in the lot connected to the building.","nelah.gabler@cobbcounty.org","3330 Sandy Plains Rd.
MARIETTA, GA 30066","https://atlantaplanit.wabe.org/wp-content/uploads/2016/09/Art_Place_-_buildingNEW.jpg"
"K","https://atlantaplanit.wabe.org/venues/K/","Kai Lin Art","https://atlantaplanit.wabe.org/venues/kai-lin-art/","Kai Lin Art","404-408-4248","999 Brady Ave.
Suite 7
ATLANTA, GA 30318","Kai Lin Art is a contemporary art gallery located in the vibrant Westside District of Midtown Atlanta. The gallery focuses on emerging and established artists and runs on an accelerated exhibition calendar with a new opening every eight weeks. Kai Lin Art showcases all mediums of art, including works on canvas, photography, sculptures, handcrafted pieces, jewelry and prints.","MARTA AccessibleNoHandicapped AccessibleNoHearing Impaired AccessibleNoVisually Impaired AccessibleNoIndoorYesOutdoorNo","Parking is available in front of the gallery on 10th Street and in the 999 Brady Ave. complex lot.","info@kailinart.com","999 Brady Ave.
Suite 7
ATLANTA, GA 30318","https://atlantaplanit.wabe.org/wp-content/uploads/2016/06/Kai_Lin_-_Westside.jpg"
"C","https://atlantaplanit.wabe.org/venues/C/","CORE Studios","https://atlantaplanit.wabe.org/venues/core-studios/","CORE Studios","404-373-4154","139 Sycamore St.
DECATUR, GA 30030","Founded in 1980 by Sue Schroeder and Kathy Russell, CORE (formerly Several Dancers Core) has grown into a multifaceted dance organization with homes in two cities that also generates connections throughout the world. CORE is a stable arts organization that provides opportunities, programs and support for artists, students and populations in isolation. CORE Performance Company, the professional contemporary dance company of CORE, focuses on creation through intentional collaboration and performance of new and innovative dance.","MARTA AccessibleYesHandicapped AccessibleYesHearing Impaired AccessibleNoVisually Impaired AccessibleNoIndoorYesOutdoorNo","Street and lot parking is available in the surrounding Decatur Square area. MARTA: Take the Blue line to Decatur Station. Exit onto the Decatur Square, and CORE Studios is located right on the Square.","info@coredance.org","139 Sycamore St.
DECATUR, GA 30030","https://atlantaplanit.wabe.org/wp-content/uploads/2016/08/CORE_-_logo2013.jpg"
"H","https://atlantaplanit.wabe.org/venues/H/","Heritage Green","https://atlantaplanit.wabe.org/venues/heritage-green/","Heritage Green","404-851-9111","6110 Bluestone Rd.
SANDY SPRINGS, GA 30328","Heritage Green is one of the few precious green spaces within the city limits of the vibrant community of Sandy Springs and is the only gathering spot in the heart of the city. The space is a ""people's park"" that enriches the quality of life for Sandy Springs residents and visitors through recreational, historical and educational opportunities.","MARTA AccessibleNoHandicapped AccessibleNoHearing Impaired AccessibleNoVisually Impaired AccessibleNoIndoorNoOutdoorYes","null","information@heritagesandysprings.org","6110 Bluestone Rd.
SANDY SPRINGS, GA 30328","https://atlantaplanit.wabe.org/wp-content/uploads/2016/09/HSS_-_Concerts_by_the_Springs.jpg"
"N","https://atlantaplanit.wabe.org/venues/N/","North Avenue Presbyterian Church","https://atlantaplanit.wabe.org/venues/north-avenue-presbyterian-church/","North Avenue Presbyterian Church","404-875-0431","607 Peachtree St. NE
ATLANTA, GA 30308","An urban church in the heart of Atlanta, North Avenue has a thriving congregation composed of people from all walks of life and backgrounds, including members of more than 30 different nationalities.","MARTA AccessibleYesHandicapped AccessibleNoHearing Impaired AccessibleNoVisually Impaired AccessibleNoIndoorYesOutdoorNo","Limited free parking is available on Sundays in the church parking deck (entrance off North Avenue or Peachtree Street). On weekdays, please use the church deck and enter through the ramp door on the lower deck. MARTA: Exit the North Avenue station and head south on West Peachtree St. toward North Avenue. Take a left on North Avenue and then turn right on Peachtree St.","whitney@napc.org","607 Peachtree St. NE
ATLANTA, GA 30308","https://atlantaplanit.wabe.org/wp-content/uploads/2017/03/North_Avenue_Presbyterian_Church.jpg"
"W","https://atlantaplanit.wabe.org/venues/W/","Westside Provisions District","https://atlantaplanit.wabe.org/venues/westside-provisions-district/","Westside Provisions District","null","1100 Howell Mill Rd. NW
ATLANTA, GA 30318","Westside Provisions District is the centerpiece of an eclectic and bustling community in Atlanta’s West Midtown neighborhood. It features retail, restaurant and residential space and occasionally hosts special events. Once home to Atlanta's first modern meatpacking district, West Midtown fell on hard times by the late '90s. The arrival of Westside Urban Market turned the fortunes of the area around, and put into motion the events that led ultimately to the creation of Westside Provisions District.","MARTA AccessibleNoHandicapped AccessibleNoHearing Impaired AccessibleNoVisually Impaired AccessibleNoIndoorYesOutdoorYes","Free parking is available.","null","1100 Howell Mill Rd. NW
ATLANTA, GA 30318","https://atlantaplanit.wabe.org/wp-content/uploads/2016/11/Westside_Provisions_District.jpg"
"G","https://atlantaplanit.wabe.org/venues/G/","Georgia Renaissance Festival","https://atlantaplanit.wabe.org/venues/georgia-renaissance-festival/","Georgia Renaissance Festival","770-964-8575","6905 Virlyn B. Smith Rd.
FAIRBURN, GA 30213","This multi-acre kingdom is a re-creation of a 16th-century European country faire where visitors can shop, eat and revel with a cast of nearly 1,000 colorfully costumed characters. Ten stages of music and comedy shows are set against a permanent backdrop of Tudor homes and enchanting cottages.","MARTA AccessibleNoHandicapped AccessibleYesHearing Impaired AccessibleNoVisually Impaired AccessibleNoIndoorNoOutdoorYes","Free parking is available.","info@garenfest.com","6905 Virlyn B. Smith Rd.
FAIRBURN, GA 30213","https://atlantaplanit.wabe.org/wp-content/uploads/2017/01/GRF_-_Joust.jpg"
"C","https://atlantaplanit.wabe.org/venues/C/","Center for Civil and Human Rights","https://atlantaplanit.wabe.org/venues/center-for-civil-and-human-rights/","Center for Civil and Human Rights","678-999-8990","100 Ivan Allen Jr. Blvd.
ATLANTA, GA 30313","The Center for Civil and Human Rights is an engaging cultural attraction that connects the American Civil Rights Movement to today’s Global Human Rights Movements. The organization's purpose is to create a safe space for visitors to explore the fundamental rights of all human beings so that they leave inspired and empowered to join the ongoing dialogue about human rights in their communities.","MARTA AccessibleYesHandicapped AccessibleNoHearing Impaired AccessibleNoVisually Impaired AccessibleNoIndoorYesOutdoorNo","There is a parking deck located between World of Coca-Cola and the Georgia Aquarium that can be used by visitors for $10. MARTA: Take the Red or Gold Line to the Peachtree Center station. Head west on Andrew Young International Boulevard, and after three blocks, turn right on Centennial Olympic Park Drive. Turn left on Baker Street to reach the museum.","more@civilandhumanrights.org","100 Ivan Allen Jr. Blvd.
ATLANTA, GA 30313","https://atlantaplanit.wabe.org/wp-content/uploads/2016/06/CCHR_-_Exterior.jpg"
"O","https://atlantaplanit.wabe.org/venues/O/","Oakland Cemetery","https://atlantaplanit.wabe.org/venues/oakland-cemetery/","Oakland Cemetery","404-688-2107","248 Oakland Ave. SE
ATLANTA, GA 30312","Discover the period gardens, history, customs, architecture and art that give Oakland Cemetery its distinctive character. Founded in 1850, the cemetery is listed on the National Register of Historic Places and is a museum of Atlanta's history with more than 70,000 stories to tell - stories filled with victories and tragedies, both beautiful and stunning (including stories about Margaret Mitchell, Bobby Jones and Maynard Jackson). Visit the cemetery to take a stroll under the sweetly scented magnolias, study the intricately carved monuments, or take a tour with one of the skillful, enthusiastic and highly informative guides.","MARTA AccessibleYesHandicapped AccessibleNoHearing Impaired AccessibleNoVisually Impaired AccessibleNoIndoorNoOutdoorYes","Since Oakland was established in 1850 (before the automobile), parking inside the cemetery is limited. There is street parking and a parking lot outside the front gate. Parking is available inside, but please pull your vehicle off to the right side of any asphalt paved road, allowing room for other vehicles to pass. Please do not drive or park on any brick or graveled roads or on the walkways or grass. MARTA: Take the Blue or Green Line to King Memorial Station. Exit the station and walk south on Grant Street. Turn left at the stop sign onto Martin Luther King Jr. Drive SE, and Oakland's front gates will be ahead.","mwoodlan@oaklandcemetery.com","248 Oakland Ave. SE
ATLANTA, GA 30312","https://atlantaplanit.wabe.org/wp-content/uploads/2016/06/Oakland_-_general.jpg"
